"","State","Year","Month","ILITotal","TotalPatients"
"3386","Rhode Island",2012,11,47,23345
"3387","Rhode Island",2012,12,594,31218
"3388","Rhode Island",2013,1,570,21581
"3389","Rhode Island",2013,2,244,23764
"3390","Rhode Island",2013,3,154,30122
"3391","Rhode Island",2013,4,124,25755
"3392","Rhode Island",2013,5,32,22299
"3393","Rhode Island",2013,6,2,19818
"3394","Rhode Island",2013,7,2,16363
"3395","Rhode Island",2013,8,0,20441
"3396","Rhode Island",2013,9,13,22590
"3397","Rhode Island",2013,10,31,24595
"3398","Rhode Island",2013,11,67,30277
"3399","Rhode Island",2013,12,58,20953
"3400","Rhode Island",2014,1,215,18613
"3401","Rhode Island",2014,2,259,23889
"3402","Rhode Island",2014,3,187,30205
"3403","Rhode Island",2014,4,358,25599
"3404","Rhode Island",2014,5,102,26439
"3405","Rhode Island",2014,6,6,15954
"3406","Rhode Island",2014,7,8,15679
"3407","Rhode Island",2014,8,31,19079
"3408","Rhode Island",2014,9,7,21877
"3409","Rhode Island",2014,10,34,26320
"3410","Rhode Island",2014,11,56,30780
"3411","Rhode Island",2014,12,131,23616
"3412","Rhode Island",2015,1,770,25700
"3413","Rhode Island",2015,2,535,24289
"3414","Rhode Island",2015,3,164,24458
"3415","Rhode Island",2015,4,168,26435
"3416","Rhode Island",2015,5,54,27601
"3417","Rhode Island",2015,6,3,17721
"3418","Rhode Island",2015,7,10,17930
"3419","Rhode Island",2015,8,7,21674
"3420","Rhode Island",2015,9,11,22028
"3421","Rhode Island",2015,10,49,28637
"3422","Rhode Island",2015,11,48,22400
"3423","Rhode Island",2015,12,42,21050
"3424","Rhode Island",2016,1,101,20456
"3425","Rhode Island",2016,2,267,21669
"3426","Rhode Island",2016,3,369,21752
"3427","Rhode Island",2016,4,275,27290
"3428","Rhode Island",2016,5,37,18577
"3429","Rhode Island",2016,6,5,13772
"3430","Rhode Island",2016,7,2,16165
"3431","Rhode Island",2016,8,3,12250
"3432","Rhode Island",2016,9,166,18033
"3433","Rhode Island",2016,10,119,25972
"3434","Rhode Island",2016,11,77,19593
"3435","Rhode Island",2016,12,102,22584
"3436","Rhode Island",2017,1,182,14501
"3437","Rhode Island",2017,2,690,18372
"3438","Rhode Island",2017,3,445,17409
"3439","Rhode Island",2017,4,426,23393
"3440","Rhode Island",2017,5,40,16004
"3441","Rhode Island",2017,6,5,11214
"3442","Rhode Island",2017,7,5,13645
"3443","Rhode Island",2017,8,0,10442
"3444","Rhode Island",2017,9,38,20450
"3445","Rhode Island",2017,10,95,21225
"3446","Rhode Island",2017,11,136,21326
"3447","Rhode Island",2017,12,332,24885
"3448","Rhode Island",2018,1,693,17354
"3449","Rhode Island",2018,2,1601,24464
"3450","Rhode Island",2018,3,551,23738
"3451","Rhode Island",2018,4,285,21748
"3452","Rhode Island",2018,5,94,18669
"3453","Rhode Island",2018,6,19,16950
"3454","Rhode Island",2018,7,6,14650
"3455","Rhode Island",2018,8,8,14100
"3456","Rhode Island",2018,9,22,19828
"3457","South Carolina",2010,10,146,29051
"3458","South Carolina",2010,11,120,25168
"3459","South Carolina",2010,12,138,22217
"3460","South Carolina",2011,1,876,32389
"3461","South Carolina",2011,2,2162,39243
"3462","South Carolina",2011,3,557,30720
"3463","South Carolina",2011,4,196,35807
"3464","South Carolina",2011,5,36,21081
"3465","South Carolina",2011,6,27,17122
"3466","South Carolina",2011,7,40,18590
"3467","South Carolina",2011,8,18,16656
"3468","South Carolina",2011,9,26,21257
"3469","South Carolina",2011,10,77,35174
"3470","South Carolina",2011,11,95,27910
"3471","South Carolina",2011,12,141,30599
"3472","South Carolina",2012,1,159,26700
"3473","South Carolina",2012,2,199,27262
"3474","South Carolina",2012,3,129,33272
"3475","South Carolina",2012,4,85,28546
"3476","South Carolina",2012,5,55,24000
"3477","South Carolina",2012,6,50,20524
"3478","South Carolina",2012,7,32,12917
"3479","South Carolina",2012,8,17,14903
"3480","South Carolina",2012,9,58,21750
"3481","South Carolina",2012,10,96,28721
"3482","South Carolina",2012,11,142,27526
"3483","South Carolina",2012,12,1162,34145
"3484","South Carolina",2013,1,439,27808
"3485","South Carolina",2013,2,301,30210
"3486","South Carolina",2013,3,441,36769
"3487","South Carolina",2013,4,156,27964
"3488","South Carolina",2013,5,38,22666
"3489","South Carolina",2013,6,33,22371
"3490","South Carolina",2013,7,3,14116
"3491","South Carolina",2013,8,10,23020
"3492","South Carolina",2013,9,23,21725
"3493","South Carolina",2013,10,96,24565
"3494","South Carolina",2013,11,201,30956
"3495","South Carolina",2013,12,458,21643
"3496","South Carolina",2014,1,380,21864
"3497","South Carolina",2014,2,219,22267
"3498","South Carolina",2014,3,91,29641
"3499","South Carolina",2014,4,58,24108
"3500","South Carolina",2014,5,41,23723
"3501","South Carolina",2014,6,7,14968
"3502","South Carolina",2014,7,6,13331
"3503","South Carolina",2014,8,5,19774
"3504","South Carolina",2014,9,12,19541
"3505","South Carolina",2014,10,105,25734
"3506","South Carolina",2014,11,265,29707
"3507","South Carolina",2014,12,681,21725
"3508","South Carolina",2015,1,748,28318
"3509","South Carolina",2015,2,400,24101
"3510","South Carolina",2015,3,168,19865
"3511","South Carolina",2015,4,97,21911
"3512","South Carolina",2015,5,34,16273
"3513","South Carolina",2015,6,11,7347
"3514","South Carolina",2015,7,7,6912
"3515","South Carolina",2015,8,8,8494
"3516","South Carolina",2015,9,23,10372
"3517","South Carolina",2015,10,190,19646
"3518","South Carolina",2015,11,260,16645
"3519","South Carolina",2015,12,132,13982
"3520","South Carolina",2016,1,122,17362
"3521","South Carolina",2016,2,300,16724
"3522","South Carolina",2016,3,370,16558
"3523","South Carolina",2016,4,241,19756
"3524","South Carolina",2016,5,47,12234
"3525","South Carolina",2016,6,15,10513
"3526","South Carolina",2016,7,7,13135
"3527","South Carolina",2016,8,7,11295
"3528","South Carolina",2016,9,26,13418
"3529","South Carolina",2016,10,329,22022
"3530","South Carolina",2016,11,414,21217
"3531","South Carolina",2016,12,751,28526
"3532","South Carolina",2017,1,1298,25337
"3533","South Carolina",2017,2,2006,28464
"3534","South Carolina",2017,3,1628,26186
"3535","South Carolina",2017,4,1027,28103
"3536","South Carolina",2017,5,246,18676
"3537","South Carolina",2017,6,77,14383
"3538","South Carolina",2017,7,56,16699
"3539","South Carolina",2017,8,20,14759
"3540","South Carolina",2017,9,234,22391
"3541","South Carolina",2017,10,568,28799
"3542","South Carolina",2017,11,814,25406
"3543","South Carolina",2017,12,1417,26619
"3544","South Carolina",2018,1,2467,24990
"3545","South Carolina",2018,2,3216,26021
"3546","South Carolina",2018,3,899,23818
"3547","South Carolina",2018,4,322,19553
"3548","South Carolina",2018,5,157,15858
"3549","South Carolina",2018,6,87,17245
"3550","South Carolina",2018,7,47,13153
"3551","South Carolina",2018,8,46,13752
"3552","South Carolina",2018,9,190,16583
"3553","South Dakota",2010,10,194,22183
"3554","South Dakota",2010,11,178,20800
"3555","South Dakota",2010,12,246,21038
"3556","South Dakota",2011,1,510,25969
"3557","South Dakota",2011,2,859,23351
"3558","South Dakota",2011,3,778,24482
"3559","South Dakota",2011,4,334,25271
"3560","South Dakota",2011,5,99,17396
"3561","South Dakota",2011,6,76,16350
"3562","South Dakota",2011,7,96,20119
"3563","South Dakota",2011,8,76,17271
"3564","South Dakota",2011,9,95,17337
"3565","South Dakota",2011,10,238,27504
"3566","South Dakota",2011,11,180,22957
"3567","South Dakota",2011,12,249,29214
"3568","South Dakota",2012,1,267,20546
"3569","South Dakota",2012,2,561,22651
"3570","South Dakota",2012,3,443,25317
"3571","South Dakota",2012,4,152,19451
"3572","South Dakota",2012,5,100,17276
"3573","South Dakota",2012,6,34,8052
"3574","South Dakota",2012,7,7,2123
"3575","South Dakota",2012,8,12,1938
"3576","South Dakota",2012,9,12,2502
"3577","South Dakota",2012,10,188,19834
"3578","South Dakota",2012,11,200,19083
"3579","South Dakota",2012,12,403,24766
"3580","South Dakota",2013,1,494,20419
"3581","South Dakota",2013,2,467,20146
"3582","South Dakota",2013,3,403,24769
"3583","South Dakota",2013,4,168,18468
"3584","South Dakota",2013,5,54,16673
"3585","South Dakota",2013,6,9,11758
"3586","South Dakota",2013,7,3,2149
"3587","South Dakota",2013,8,7,2758
"3588","South Dakota",2013,9,40,7147
"3589","South Dakota",2013,10,159,22846
"3590","South Dakota",2013,11,266,27223
"3591","South Dakota",2013,12,300,21020
"3592","South Dakota",2014,1,456,22628
"3593","South Dakota",2014,2,464,23079
"3594","South Dakota",2014,3,382,28988
"3595","South Dakota",2014,4,190,21201
"3596","South Dakota",2014,5,256,25570
"3597","South Dakota",2014,6,110,19319
"3598","South Dakota",2014,7,93,19098
"3599","South Dakota",2014,8,161,27340
"3600","South Dakota",2014,9,127,17276
"3601","South Dakota",2014,10,206,23269
"3602","South Dakota",2014,11,241,27126
"3603","South Dakota",2014,12,356,21162
"3604","South Dakota",2015,1,884,31017
"3605","South Dakota",2015,2,537,25830
"3606","South Dakota",2015,3,394,27411
"3607","South Dakota",2015,4,326,28897
"3608","South Dakota",2015,5,194,29245
"3609","South Dakota",2015,6,121,21889
"3610","South Dakota",2015,7,139,20171
"3611","South Dakota",2015,8,132,22108
"3612","South Dakota",2015,9,55,8256
"3613","South Dakota",2015,10,345,37250
"3614","South Dakota",2015,11,412,34289
"3615","South Dakota",2015,12,450,32858
"3616","South Dakota",2016,1,690,43060
"3617","South Dakota",2016,2,877,35139
"3618","South Dakota",2016,3,779,36003
"3619","South Dakota",2016,4,690,44481
"3620","South Dakota",2016,5,301,27233
"3621","South Dakota",2016,6,160,18333
"3622","South Dakota",2016,7,154,21722
"3623","South Dakota",2016,8,128,19870
"3624","South Dakota",2016,9,154,18077
"3625","South Dakota",2016,10,395,40209
"3626","South Dakota",2016,11,382,32433
"3627","South Dakota",2016,12,499,41193
"3628","South Dakota",2017,1,850,35767
"3629","South Dakota",2017,2,1741,41027
"3630","South Dakota",2017,3,885,36742
"3631","South Dakota",2017,4,636,43064
"3632","South Dakota",2017,5,224,26211
"3633","South Dakota",2017,6,71,18832
"3634","South Dakota",2017,7,129,23368
"3635","South Dakota",2017,8,93,19971
"3636","South Dakota",2017,9,204,24205
"3637","South Dakota",2017,10,631,40494
"3638","South Dakota",2017,11,940,41024
"3639","South Dakota",2017,12,1238,50806
"3640","South Dakota",2018,1,1682,44024
"3641","South Dakota",2018,2,2172,45721
"3642","South Dakota",2018,3,1707,52154
"3643","South Dakota",2018,4,514,28917
"3644","South Dakota",2018,5,213,23183
"3645","South Dakota",2018,6,166,27371
"3646","South Dakota",2018,7,121,23478
"3647","South Dakota",2018,8,123,25969
"3648","South Dakota",2018,9,206,22967
"3649","Tennessee",2010,10,203,48372
"3650","Tennessee",2010,11,291,45541
"3651","Tennessee",2010,12,494,39108
"3652","Tennessee",2011,1,1645,49376
"3653","Tennessee",2011,2,2859,51322
"3654","Tennessee",2011,3,842,44905
"3655","Tennessee",2011,4,345,57554
"3656","Tennessee",2011,5,24,35010
"3657","Tennessee",2011,6,13,30512
"3658","Tennessee",2011,7,4,36473
"3659","Tennessee",2011,8,17,36415
"3660","Tennessee",2011,9,101,41178
"3661","Tennessee",2011,10,247,56451
"3662","Tennessee",2011,11,279,42615
"3663","Tennessee",2011,12,304,44301
"3664","Tennessee",2012,1,432,44844
"3665","Tennessee",2012,2,676,51005
"3666","Tennessee",2012,3,1044,60301
"3667","Tennessee",2012,4,298,46241
"3668","Tennessee",2012,5,216,40438
"3669","Tennessee",2012,6,191,45281
"3670","Tennessee",2012,7,58,33128
"3671","Tennessee",2012,8,84,37309
"3672","Tennessee",2012,9,197,57921
"3673","Tennessee",2012,10,320,43004
"3674","Tennessee",2012,11,824,40564
"3675","Tennessee",2012,12,2652,49624
"3676","Tennessee",2013,1,1575,41080
"3677","Tennessee",2013,2,1143,46812
"3678","Tennessee",2013,3,925,51331
"3679","Tennessee",2013,4,305,43155
"3680","Tennessee",2013,5,60,32424
"3681","Tennessee",2013,6,30,39399
"3682","Tennessee",2013,7,4,32555
"3683","Tennessee",2013,8,36,47221
"3684","Tennessee",2013,9,66,41736
"3685","Tennessee",2013,10,113,40464
"3686","Tennessee",2013,11,296,51264
"3687","Tennessee",2013,12,965,33493
"3688","Tennessee",2014,1,1851,35277
"3689","Tennessee",2014,2,972,38111
"3690","Tennessee",2014,3,620,48132
"3691","Tennessee",2014,4,120,39156
"3692","Tennessee",2014,5,56,41118
"3693","Tennessee",2014,6,20,31161
"3694","Tennessee",2014,7,11,31649
"3695","Tennessee",2014,8,50,45007
"3696","Tennessee",2014,9,71,41061
"3697","Tennessee",2014,10,202,39443
"3698","Tennessee",2014,11,466,48743
"3699","Tennessee",2014,12,1313,34020
"3700","Tennessee",2015,1,2163,47993
"3701","Tennessee",2015,2,803,34185
"3702","Tennessee",2015,3,371,34757
"3703","Tennessee",2015,4,137,33837
"3704","Tennessee",2015,5,255,38698
"3705","Tennessee",2015,6,72,30404
"3706","Tennessee",2015,7,32,28714
"3707","Tennessee",2015,8,83,43375
"3708","Tennessee",2015,9,226,39988
"3709","Tennessee",2015,10,290,45820
"3710","Tennessee",2015,11,335,40179
"3711","Tennessee",2015,12,357,29771
"3712","Tennessee",2016,1,571,38502
"3713","Tennessee",2016,2,967,39210
"3714","Tennessee",2016,3,1151,37631
"3715","Tennessee",2016,4,1223,51635
"3716","Tennessee",2016,5,654,32497
"3717","Tennessee",2016,6,517,25282
"3718","Tennessee",2016,7,355,33579
"3719","Tennessee",2016,8,426,34065
"3720","Tennessee",2016,9,377,36466
"3721","Tennessee",2016,10,747,47353
"3722","Tennessee",2016,11,834,37277
"3723","Tennessee",2016,12,1049,40575
"3724","Tennessee",2017,1,1564,38623
"3725","Tennessee",2017,2,2834,45334
"3726","Tennessee",2017,3,2077,38258
"3727","Tennessee",2017,4,1677,50127
"3728","Tennessee",2017,5,685,32890
"3729","Tennessee",2017,6,211,26601
"3730","Tennessee",2017,7,68,30022
"3731","Tennessee",2017,8,26,25708
"3732","Tennessee",2017,9,183,45705
"3733","Tennessee",2017,10,200,35867
"3734","Tennessee",2017,11,552,35934
"3735","Tennessee",2017,12,1007,39274
"3736","Tennessee",2018,1,2219,35171
"3737","Tennessee",2018,2,2065,36855
"3738","Tennessee",2018,3,422,35443
"3739","Tennessee",2018,4,167,30027
"3740","Tennessee",2018,5,113,22722
"3741","Tennessee",2018,6,71,25337
"3742","Tennessee",2018,7,69,20738
"3743","Tennessee",2018,8,53,22815
"3744","Tennessee",2018,9,103,28106
"3745","Texas",2010,10,4318,204023
"3746","Texas",2010,11,4613,190559
"3747","Texas",2010,12,5206,182211
"3748","Texas",2011,1,10666,243605
"3749","Texas",2011,2,14828,199540
"3750","Texas",2011,3,6498,178828
"3751","Texas",2011,4,3853,219520
"3752","Texas",2011,5,2425,160205
"3753","Texas",2011,6,1690,141313
"3754","Texas",2011,7,1598,152125
"3755","Texas",2011,8,1379,147146
"3756","Texas",2011,9,2266,141643
"3757","Texas",2011,10,3599,198552
"3758","Texas",2011,11,3281,157607
"3759","Texas",2011,12,3683,174185
"3760","Texas",2012,1,3426,157445
"3761","Texas",2012,2,4552,161013
"3762","Texas",2012,3,5878,192331
"3763","Texas",2012,4,3405,153436
"3764","Texas",2012,5,3019,139771
"3765","Texas",2012,6,2794,140862
"3766","Texas",2012,7,1892,120437
"3767","Texas",2012,8,2071,142564
"3768","Texas",2012,9,3461,181359
"3769","Texas",2012,10,3494,158386
"3770","Texas",2012,11,5307,150940
"3771","Texas",2012,12,12696,199003
"3772","Texas",2013,1,13255,170745
"3773","Texas",2013,2,6950,156403
"3774","Texas",2013,3,5605,186699
"3775","Texas",2013,4,3233,140772
"3776","Texas",2013,5,2650,139250
"3777","Texas",2013,6,2853,157408
"3778","Texas",2013,7,2046,114658
"3779","Texas",2013,8,2717,157351
"3780","Texas",2013,9,4474,147629
"3781","Texas",2013,10,4221,173468
"3782","Texas",2013,11,7520,207923
"3783","Texas",2013,12,13499,165574
"3784","Texas",2014,1,11116,168948
"3785","Texas",2014,2,7066,169228
"3786","Texas",2014,3,7279,200141
"3787","Texas",2014,4,4952,158345
"3788","Texas",2014,5,4847,185302
"3789","Texas",2014,6,2998,124347
"3790","Texas",2014,7,2238,124748
"3791","Texas",2014,8,2540,168484
"3792","Texas",2014,9,2987,136170
"3793","Texas",2014,10,2916,155460
"3794","Texas",2014,11,5457,177984
"3795","Texas",2014,12,8281,104435
"3796","Texas",2015,1,11771,146199
"3797","Texas",2015,2,7988,163915
"3798","Texas",2015,3,6064,157335
"3799","Texas",2015,4,3911,153376
"3800","Texas",2015,5,4174,174643
"3801","Texas",2015,6,1999,109651
"3802","Texas",2015,7,1556,115028
"3803","Texas",2015,8,1917,156612
"3804","Texas",2015,9,2460,131689
"3805","Texas",2015,10,5189,161187
"3806","Texas",2015,11,4694,118446
"3807","Texas",2015,12,5232,112593
"3808","Texas",2016,1,6589,139092
"3809","Texas",2016,2,6510,120749
"3810","Texas",2016,3,3670,91438
"3811","Texas",2016,4,3711,115966
"3812","Texas",2016,5,2066,80987
"3813","Texas",2016,6,1349,63936
"3814","Texas",2016,7,1234,76548
"3815","Texas",2016,8,985,69130
"3816","Texas",2016,9,1833,66161
"3817","Texas",2016,10,2755,132898
"3818","Texas",2016,11,2411,109124
"3819","Texas",2016,12,4310,125842
"3820","Texas",2017,1,5957,112953
"3821","Texas",2017,2,11512,125590
"3822","Texas",2017,3,7024,111052
"3823","Texas",2017,4,4226,123772
"3824","Texas",2017,5,2107,95677
"3825","Texas",2017,6,1376,82653
"3826","Texas",2017,7,1209,88404
"3827","Texas",2017,8,1027,78010
"3828","Texas",2017,9,2121,110774
"3829","Texas",2017,10,2647,119508
"3830","Texas",2017,11,4271,107309
"3831","Texas",2017,12,11751,133530
"3832","Texas",2018,1,16644,124824
"3833","Texas",2018,2,15682,135083
"3834","Texas",2018,3,5551,128016
"3835","Texas",2018,4,2287,91282
"3836","Texas",2018,5,1911,93838
"3837","Texas",2018,6,1508,94999
"3838","Texas",2018,7,867,73819
"3839","Texas",2018,8,818,68883
"3840","Texas",2018,9,1538,84547
"3841","Utah",2010,10,154,27064
"3842","Utah",2010,11,184,25123
"3843","Utah",2010,12,276,26389
"3844","Utah",2011,1,328,25251
"3845","Utah",2011,2,674,27783
"3846","Utah",2011,3,485,33049
"3847","Utah",2011,4,284,36160
"3848","Utah",2011,5,100,30710
"3849","Utah",2011,6,55,22020
"3850","Utah",2011,7,67,23196
"3851","Utah",2011,8,41,19447
"3852","Utah",2011,9,148,27969
"3853","Utah",2011,10,1199,79444
"3854","Utah",2011,11,1486,67379
"3855","Utah",2011,12,1696,83711
"3856","Utah",2012,1,1628,70359
"3857","Utah",2012,2,2326,77584
"3858","Utah",2012,3,2969,97275
"3859","Utah",2012,4,1421,70974
"3860","Utah",2012,5,1089,64767
"3861","Utah",2012,6,1328,84210
"3862","Utah",2012,7,700,63339
"3863","Utah",2012,8,706,65685
"3864","Utah",2012,9,1228,87588
"3865","Utah",2012,10,909,65630
"3866","Utah",2012,11,1322,65674
"3867","Utah",2012,12,3547,85887
"3868","Utah",2013,1,4540,78614
"3869","Utah",2013,2,3138,77483
"3870","Utah",2013,3,2174,91324
"3871","Utah",2013,4,1115,69133
"3872","Utah",2013,5,1049,69534
"3873","Utah",2013,6,1110,82106
"3874","Utah",2013,7,610,64614
"3875","Utah",2013,8,732,74580
"3876","Utah",2013,9,274,37327
"3877","Utah",2013,10,1004,75868
"3878","Utah",2013,11,2638,178184
"3879","Utah",2013,12,3068,94288
"3880","Utah",2014,1,2433,74480
"3881","Utah",2014,2,1757,68847
"3882","Utah",2014,3,1876,88005
"3883","Utah",2014,4,1266,63618
"3884","Utah",2014,5,1501,87890
"3885","Utah",2014,6,389,39901
"3886","Utah",2014,7,628,64232
"3887","Utah",2014,8,768,80381
"3888","Utah",2014,9,731,60166
"3889","Utah",2014,10,907,69348
"3890","Utah",2014,11,1611,85502
"3891","Utah",2014,12,2852,72071
"3892","Utah",2015,1,3999,94976
"3893","Utah",2015,2,2140,78122
"3894","Utah",2015,3,1638,77765
"3895","Utah",2015,4,1390,71546
"3896","Utah",2015,5,1476,94513
"3897","Utah",2015,6,752,68405
"3898","Utah",2015,7,536,68068
"3899","Utah",2015,8,676,89480
"3900","Utah",2015,9,664,74825
"3901","Utah",2015,10,1039,94559
"3902","Utah",2015,11,1212,72848
"3903","Utah",2015,12,1219,74981
"3904","Utah",2016,1,2131,98497
"3905","Utah",2016,2,3095,85721
"3906","Utah",2016,3,2647,82401
"3907","Utah",2016,4,2033,101560
"3908","Utah",2016,5,1018,78784
"3909","Utah",2016,6,764,75569
"3910","Utah",2016,7,917,110741
"3911","Utah",2016,8,625,86233
"3912","Utah",2016,9,803,89151
"3913","Utah",2016,10,867,96712
"3914","Utah",2016,11,903,92513
"3915","Utah",2016,12,1844,90917
"3916","Utah",2017,1,1403,51266
"3917","Utah",2017,2,1089,71572
"3918","Utah",2017,3,362,63368
"3919","Utah",2017,4,413,74457
"3920","Utah",2017,5,263,45605
"3921","Utah",2017,6,200,53877
"3922","Utah",2017,7,201,71542
"3923","Utah",2017,8,177,59693
"3924","Utah",2017,9,214,89680
"3925","Utah",2017,10,183,82768
"3926","Utah",2017,11,189,89114
"3927","Utah",2017,12,548,84609
"3928","Utah",2018,1,1053,49695
"3929","Utah",2018,2,3365,119946
"3930","Utah",2018,3,2173,168498
"3931","Utah",2018,4,1197,125864
"3932","Utah",2018,5,1455,167982
"3933","Utah",2018,6,931,145043
"3934","Utah",2018,7,271,224271
"3935","Utah",2018,8,458,151640
"3936","Utah",2018,9,1106,179050
"3937","Vermont",2010,10,173,12014
"3938","Vermont",2010,11,166,10973
"3939","Vermont",2010,12,195,14130
"3940","Vermont",2011,1,357,19809
"3941","Vermont",2011,2,441,15824
"3942","Vermont",2011,3,285,13140
"3943","Vermont",2011,4,244,14632
"3944","Vermont",2011,5,152,9732
"3945","Vermont",2011,6,68,6862
"3946","Vermont",2011,7,66,8256
"3947","Vermont",2011,8,78,5862
"3948","Vermont",2011,9,101,6153
"3949","Vermont",2011,10,204,15556
"3950","Vermont",2011,11,213,14374
"3951","Vermont",2011,12,332,16956
"3952","Vermont",2012,1,255,11486
"3953","Vermont",2012,2,249,12471
"3954","Vermont",2012,3,364,14378
"3955","Vermont",2012,4,289,10690
"3956","Vermont",2012,5,136,6973
"3957","Vermont",2012,6,102,7142
"3958","Vermont",2012,7,62,5706
"3959","Vermont",2012,8,73,5549
"3960","Vermont",2012,9,126,8212
"3961","Vermont",2012,10,141,11397
"3962","Vermont",2012,11,126,12259
"3963","Vermont",2012,12,436,17135
"3964","Vermont",2013,1,705,13924
"3965","Vermont",2013,2,604,12384
"3966","Vermont",2013,3,381,14116
"3967","Vermont",2013,4,267,8409
"3968","Vermont",2013,5,159,7774
"3969","Vermont",2013,6,154,8689
"3970","Vermont",2013,7,96,6624
"3971","Vermont",2013,8,130,8052
"3972","Vermont",2013,9,152,6650
"3973","Vermont",2013,10,235,14192
"3974","Vermont",2013,11,282,16179
"3975","Vermont",2013,12,321,11227
"3976","Vermont",2014,1,496,11661
"3977","Vermont",2014,2,478,12799
"3978","Vermont",2014,3,329,11114
"3979","Vermont",2014,4,270,8853
"3980","Vermont",2014,5,171,9913
"3981","Vermont",2014,6,96,5736
"3982","Vermont",2014,7,79,5001
"3983","Vermont",2014,8,105,6752
"3984","Vermont",2014,9,108,5685
"3985","Vermont",2014,10,147,12439
"3986","Vermont",2014,11,230,18120
"3987","Vermont",2014,12,259,12397
"3988","Vermont",2015,1,835,16922
"3989","Vermont",2015,2,734,14824
"3990","Vermont",2015,3,333,13593
"3991","Vermont",2015,4,252,10782
"3992","Vermont",2015,5,99,8384
"3993","Vermont",2015,6,10,2547
"3994","Vermont",2015,7,8,2896
"3995","Vermont",2015,8,33,5247
"3996","Vermont",2015,9,23,3071
"3997","Vermont",2015,10,52,13034
"3998","Vermont",2015,11,124,13373
"3999","Vermont",2015,12,136,11504
"4000","Vermont",2016,1,230,14269
"4001","Vermont",2016,2,193,11598
"4002","Vermont",2016,3,318,13195
"4003","Vermont",2016,4,299,16434
"4004","Vermont",2016,5,97,10891
"4005","Vermont",2016,6,38,6242
"4006","Vermont",2016,7,37,6159
"4007","Vermont",2016,8,28,3071
"4008","Vermont",2016,9,40,3023
"4009","Vermont",2016,10,69,9624
"4010","Vermont",2016,11,29,9496
"4011","Vermont",2016,12,86,12833
"4012","Vermont",2017,1,106,8960
"4013","Vermont",2017,2,175,11598
"4014","Vermont",2017,3,183,10567
"4015","Vermont",2017,4,172,13279
"4016","Vermont",2017,5,56,6155
"4017","Vermont",2017,6,50,4904
"4018","Vermont",2017,7,43,5351
"4019","Vermont",2017,8,30,4371
"4020","Vermont",2017,9,46,5373
"4021","Vermont",2017,10,64,11046
"4022","Vermont",2017,11,76,10921
"4023","Vermont",2017,12,169,12658
"4024","Vermont",2018,1,319,10122
"4025","Vermont",2018,2,522,11295
"4026","Vermont",2018,3,412,13448
"4027","Vermont",2018,4,213,8254
"4028","Vermont",2018,5,102,6236
"4029","Vermont",2018,6,87,5544
"4030","Vermont",2018,7,54,3969
"4031","Vermont",2018,8,54,3980
"4032","Vermont",2018,9,48,2545
"4033","Virginia",2010,10,2935,240678
"4034","Virginia",2010,11,3502,239766
"4035","Virginia",2010,12,4157,230787
"4036","Virginia",2011,1,10910,328480
"4037","Virginia",2011,2,14517,290712
"4038","Virginia",2011,3,7007,267878
"4039","Virginia",2011,4,4332,300056
"4040","Virginia",2011,5,2703,252848
"4041","Virginia",2011,6,2215,237747
"4042","Virginia",2011,7,1975,284503
"4043","Virginia",2011,8,1480,228888
"4044","Virginia",2011,9,2230,251669
"4045","Virginia",2011,10,4406,339765
"4046","Virginia",2011,11,4020,263991
"4047","Virginia",2011,12,5778,334444
"4048","Virginia",2012,1,4361,274939
"4049","Virginia",2012,2,4475,276010
"4050","Virginia",2012,3,5121,351377
"4051","Virginia",2012,4,3119,271395
"4052","Virginia",2012,5,2692,263396
"4053","Virginia",2012,6,3166,318850
"4054","Virginia",2012,7,2018,259410
"4055","Virginia",2012,8,2017,264772
"4056","Virginia",2012,9,3919,360281
"4057","Virginia",2012,10,3924,290895
"4058","Virginia",2012,11,4731,269466
"4059","Virginia",2012,12,17818,391869
"4060","Virginia",2013,1,18259,310180
"4061","Virginia",2013,2,9387,280994
"4062","Virginia",2013,3,9965,349903
"4063","Virginia",2013,4,4238,261023
"4064","Virginia",2013,5,2561,240528
"4065","Virginia",2013,6,2491,277474
"4066","Virginia",2013,7,1481,192512
"4067","Virginia",2013,8,1531,203150
"4068","Virginia",2013,9,3018,251584
"4069","Virginia",2013,10,3776,272943
"4070","Virginia",2013,11,5684,338645
"4071","Virginia",2013,12,7325,285852
"4072","Virginia",2014,1,12779,301695
"4073","Virginia",2014,2,8858,277834
"4074","Virginia",2014,3,7510,358379
"4075","Virginia",2014,4,4674,282453
"4076","Virginia",2014,5,4634,343415
"4077","Virginia",2014,6,2803,270360
"4078","Virginia",2014,7,2242,250122
"4079","Virginia",2014,8,2668,318954
"4080","Virginia",2014,9,4081,305319
"4081","Virginia",2014,10,4903,291449
"4082","Virginia",2014,11,6869,362322
"4083","Virginia",2014,12,19196,345929
"4084","Virginia",2015,1,25127,429890
"4085","Virginia",2015,2,9277,374851
"4086","Virginia",2015,3,6937,402834
"4087","Virginia",2015,4,6553,397316
"4088","Virginia",2015,5,6066,424262
"4089","Virginia",2015,6,3460,309580
"4090","Virginia",2015,7,2647,298925
"4091","Virginia",2015,8,3053,371575
"4092","Virginia",2015,9,3705,323140
"4093","Virginia",2015,10,6563,438481
"4094","Virginia",2015,11,6540,354260
"4095","Virginia",2015,12,8705,368686
