State,Year,Week,ILITotal,TotalPatients
Nevada,2010,43,241,11238
New Hampshire,2010,43,10,5593
New Jersey,2010,43,216,7734
New Mexico,2010,43,190,8068
New York,2010,43,53,14764
North Carolina,2010,43,136,26606
North Dakota,2010,43,18,5306
Ohio,2010,43,57,17298
Oklahoma,2010,43,48,2873
Oregon,2010,43,52,6917
Pennsylvania,2010,43,133,18442
Rhode Island,2010,43,22,6818
South Carolina,2010,43,31,7410
South Dakota,2010,43,44,5491
Tennessee,2010,43,51,12698
Texas,2010,43,1117,50622
Utah,2010,43,46,6085
Vermont,2010,43,47,3255
Virginia,2010,43,763,60125
Washington,2010,43,30,3141
West Virginia,2010,43,173,9549
Wisconsin,2010,43,53,5245
Wyoming,2010,43,22,4487
New York City,2010,43,1207,92678
Alabama,2010,44,342,12069
Alaska,2010,44,13,1901
Arizona,2010,44,312,26313
Arkansas,2010,44,57,5228
California,2010,44,887,35153
Colorado,2010,44,193,19862
Connecticut,2010,44,19,4789
Delaware,2010,44,9,4048
District of Columbia,2010,44,95,3176
Georgia,2010,44,1033,38891
Hawaii,2010,44,27,1522
Idaho,2010,44,88,4816
Illinois,2010,44,625,41966
Indiana,2010,44,107,12704
Iowa,2010,44,18,5017
Kansas,2010,44,49,10181
Kentucky,2010,44,38,13118
Louisiana,2010,44,492,17513
Maine,2010,44,9,5100
Maryland,2010,44,147,10111
Massachusetts,2010,44,225,27695
Michigan,2010,44,138,15983
Minnesota,2010,44,50,6205
Mississippi,2010,44,550,16390
Missouri,2010,44,100,8564
Montana,2010,44,1,2468
Nebraska,2010,44,11,2920
Nevada,2010,44,204,11541
New Hampshire,2010,44,17,5775
New Jersey,2010,44,113,6179
New Mexico,2010,44,151,6345
New York,2010,44,80,15170
North Carolina,2010,44,169,26003
North Dakota,2010,44,38,5324
Ohio,2010,44,149,17913
Oklahoma,2010,44,49,3009
Oregon,2010,44,57,7452
Pennsylvania,2010,44,181,18256
Rhode Island,2010,44,34,6412
South Carolina,2010,44,32,7186
South Dakota,2010,44,43,5514
Tennessee,2010,44,64,12119
Texas,2010,44,1218,51527
Utah,2010,44,54,8284
Vermont,2010,44,34,2714
Virginia,2010,44,729,57607
Washington,2010,44,24,3052
West Virginia,2010,44,196,10653
Wisconsin,2010,44,60,5472
Wyoming,2010,44,25,4412
New York City,2010,44,1325,87454
Alabama,2010,45,419,12102
Alaska,2010,45,19,1996
Arizona,2010,45,239,25282
Arkansas,2010,45,58,4844
California,2010,45,906,32998
Colorado,2010,45,139,19332
Connecticut,2010,45,14,4381
Delaware,2010,45,25,3146
District of Columbia,2010,45,69,2962
Georgia,2010,45,1390,40726
Hawaii,2010,45,19,1618
Idaho,2010,45,62,4149
Illinois,2010,45,651,41894
Indiana,2010,45,97,12898
Iowa,2010,45,21,5016
Kansas,2010,45,74,10207
Kentucky,2010,45,34,15247
Louisiana,2010,45,463,22198
Maine,2010,45,22,6169
Maryland,2010,45,128,9004
Massachusetts,2010,45,187,25514
Michigan,2010,45,139,17232
Minnesota,2010,45,45,5487
Mississippi,2010,45,649,16510
Missouri,2010,45,106,8662
Montana,2010,45,6,2460
Nebraska,2010,45,105,3546
Nevada,2010,45,75,9314
New Hampshire,2010,45,16,5256
New Jersey,2010,45,169,7671
New Mexico,2010,45,186,7823
New York,2010,45,78,15453
North Carolina,2010,45,115,24116
North Dakota,2010,45,43,5672
Ohio,2010,45,86,16602
Oklahoma,2010,45,76,2952
Oregon,2010,45,54,6965
